x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
525.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1129.44
525.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1129.44
535.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1134.12
535.00;1000.00;p;10150.00;259.90;-90.00;0.00;1000.00;1134.12
535.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;535.00
535.00;0.00;p;51.51;0.17;-0.00;0.00;10.00;535.00
545.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;545.00
545.00;0.00;p;10100.00;175.79;90.00;0.00;1000.00;545.00
545.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1138.87
545.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1138.87
555.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1143.69
555.00;1000.00;p;10150.00;203.76;-90.00;0.00;1000.00;1143.69
555.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;555.00
555.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;555.00
565.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;565.00
565.00;0.00;p;10100.00;176.51;90.00;0.00;1000.00;565.00
565.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1148.58
565.00;1000.00;p;50.50;0.61;-0.00;0.00;10.00;1148.58
575.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1153.53
575.00;1000.00;p;10150.00;191.21;-90.00;0.00;1000.00;1153.53
575.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;575.00
575.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;575.00
585.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;585.00
585.00;0.00;p;10100.00;182.49;90.00;0.00;1000.00;585.00
585.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1158.54
585.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1158.54
595.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1163.63
595.00;1000.00;p;10150.00;224.63;-90.00;0.00;1000.00;1163.63
595.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;595.00
595.00;0.00;p;51.51;2.79;-0.00;0.00;10.00;595.00
605.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;605.00
605.00;0.00;p;10100.00;185.58;90.00;0.00;1000.00;605.00
605.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1168.77
605.00;1000.00;p;50.50;0.58;-0.00;0.00;10.00;1168.77
615.00;1000.00;y;38.72;0.94;-0.00;-90.00;0.00;1173.98
615.00;1000.00;p;10150.00;191.29;-90.00;0.00;1000.00;1173.98
615.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;615.00
615.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;615.00
625.00;0.00;y;38.72;0.13;-0.00;90.00;0.00;625.00
625.00;0.00;p;10100.00;206.15;90.00;0.00;1000.00;625.00
625.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1179.25
625.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1179.25
635.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1184.58
635.00;1000.00;p;10150.00;183.47;-90.00;0.00;1000.00;1184.58
635.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;635.00
635.00;0.00;p;51.51;0.13;-0.00;0.00;10.00;635.00
645.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;645.00
645.00;0.00;p;10100.00;192.02;90.00;0.00;1000.00;645.00
645.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1189.97
645.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1189.97
655.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1195.42
655.00;1000.00;p;10150.00;216.80;-90.00;0.00;1000.00;1195.42
655.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;655.00
655.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;655.00
665.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;665.00
665.00;0.00;p;10100.00;186.19;90.00;0.00;1000.00;665.00
665.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1200.93
665.00;1000.00;p;50.50;0.49;-0.00;0.00;10.00;1200.93
675.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1206.49
675.00;1000.00;p;10150.00;188.11;-90.00;0.00;1000.00;1206.49
675.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;675.00
675.00;0.00;p;51.51;5.74;-0.00;0.00;10.00;675.00
685.00;0.00;y;38.72;2.06;-0.00;90.00;0.00;685.00
685.00;0.00;p;10100.00;153.31;90.00;0.00;1000.00;685.00
685.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1212.12
685.00;1000.00;p;50.50;3.45;-0.00;0.00;10.00;1212.12
695.00;1000.00;y;38.72;0.81;-0.00;-90.00;0.00;1217.80
695.00;1000.00;p;10150.00;216.27;-90.00;0.00;1000.00;1217.80
695.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;695.00
695.00;0.00;p;51.51;0.37;-0.00;0.00;10.00;695.00
705.00;0.00;y;38.72;0.02;-0.00;90.00;0.00;705.00
705.00;0.00;p;10100.00;176.80;90.00;0.00;1000.00;705.00
705.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1223.53
705.00;1000.00;p;50.50;1.41;-0.00;0.00;10.00;1223.53
715.00;1000.00;y;38.72;0.81;-0.00;-90.00;0.00;1229.32
715.00;1000.00;p;10150.00;209.66;-90.00;0.00;1000.00;1229.32
715.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;715.00
715.00;0.00;p;51.51;1.56;-0.00;0.00;10.00;715.00
725.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;725.00
725.00;0.00;p;10100.00;196.05;90.00;0.00;1000.00;725.00
725.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1235.16
725.00;1000.00;p;50.50;0.29;-0.00;0.00;10.00;1235.16
735.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1241.06
735.00;1000.00;p;10150.00;152.62;-90.00;0.00;1000.00;1241.06
735.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;735.00
735.00;0.00;p;51.51;1.68;-0.00;0.00;10.00;735.00
745.00;0.00;y;38.72;0.49;-0.00;90.00;0.00;745.00
745.00;0.00;p;10100.00;177.16;90.00;0.00;1000.00;745.00
745.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1247.01
745.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1247.01
755.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1253.01
755.00;1000.00;p;10150.00;161.78;-90.00;0.00;1000.00;1253.01
755.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;755.00
755.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;755.00
765.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;765.00
765.00;0.00;p;10100.00;197.08;90.00;0.00;1000.00;765.00
765.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1259.06
765.00;1000.00;p;50.50;0.26;-0.00;0.00;10.00;1259.06
775.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1265.16
775.00;1000.00;p;10150.00;206.23;-90.00;0.00;1000.00;1265.16
775.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;775.00
775.00;0.00;p;51.51;1.46;-0.00;0.00;10.00;775.00
785.00;0.00;y;38.72;0.09;-0.00;90.00;0.00;785.00
785.00;0.00;p;10100.00;215.45;90.00;0.00;1000.00;785.00
785.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1271.31
785.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1271.31
795.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1277.51
795.00;1000.00;p;10150.00;194.88;-90.00;0.00;1000.00;1277.51
795.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;795.00
795.00;0.00;p;51.51;1.41;-0.00;0.00;10.00;795.00
805.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;805.00
805.00;0.00;p;10100.00;205.98;90.00;0.00;1000.00;805.00
805.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1283.75
805.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1283.75
815.00;1000.00;y;38.72;0.05;-0.00;-90.00;0.00;1290.05
815.00;1000.00;p;10200.00;201.40;-90.00;0.00;1000.00;1290.05
815.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;815.00
815.00;0.00;p;51.51;0.11;-0.00;0.00;10.00;815.00
825.00;0.00;y;38.72;1.00;-0.00;90.00;0.00;825.00
825.00;0.00;p;10100.00;183.57;90.00;0.00;1000.00;825.00
825.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1296.39
825.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1296.39
835.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1302.78
835.00;1000.00;p;10100.00;194.00;-90.00;0.00;1000.00;1302.78
835.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;835.00
835.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;835.00
845.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;845.00
845.00;0.00;p;10100.00;203.96;90.00;0.00;1000.00;845.00
845.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1309.21
845.00;1000.00;p;50.50;0.05;-0.00;0.00;10.00;1309.21
855.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1315.68
855.00;1000.00;p;10100.00;192.66;-90.00;0.00;1000.00;1315.68
855.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;855.00
855.00;0.00;p;51.51;0.01;-0.00;0.00;10.00;855.00
865.00;0.00;y;38.72;0.40;-0.00;90.00;0.00;865.00
865.00;0.00;p;10100.00;205.94;90.00;0.00;1000.00;865.00
865.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1322.20
865.00;1000.00;p;50.50;0.00;-0.00;0.00;10.00;1322.20
875.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1328.77
875.00;1000.00;p;10100.00;218.26;-90.00;0.00;1000.00;1328.77
875.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;875.00
875.00;0.00;p;51.51;0.19;-0.00;0.00;10.00;875.00
885.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;885.00
885.00;0.00;p;10100.00;161.63;90.00;0.00;1000.00;885.00
885.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1335.37
885.00;1000.00;p;50.50;0.49;-0.00;0.00;10.00;1335.37
895.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1342.02
895.00;1000.00;p;10100.00;252.37;-90.00;0.00;1000.00;1342.02
895.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;895.00
895.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;895.00
905.00;0.00;y;38.72;0.00;-0.00;90.00;0.00;905.00
905.00;0.00;p;10100.00;203.92;90.00;0.00;1000.00;905.00
905.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1348.71
905.00;1000.00;p;50.50;1.13;-0.00;0.00;10.00;1348.71
915.00;1000.00;y;38.72;0.78;-0.00;-90.00;0.00;1355.44
915.00;1000.00;p;10100.00;192.52;-90.00;0.00;1000.00;1355.44
915.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;915.00
915.00;0.00;p;51.51;0.29;-0.00;0.00;10.00;915.00
925.00;0.00;y;38.72;2.53;-0.00;90.00;0.00;925.00
925.00;0.00;p;10100.00;196.86;90.00;0.00;1000.00;925.00
925.00;1000.00;y;38.72;0.00;90.00;-90.00;0.00;1362.21
925.00;1000.00;p;50.50;0.23;-0.00;0.00;10.00;1362.21
935.00;1000.00;y;38.72;0.00;-0.00;-90.00;0.00;1369.02
935.00;1000.00;p;10100.00;214.38;-90.00;0.00;1000.00;1369.02
935.00;0.00;y;38.72;0.00;-90.00;90.00;0.00;935.00
935.00;0.00;p;51.51;0.00;-0.00;0.00;10.00;935.00
