x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
2.70;18.61;p;77.42;1.98;-91.42;0.00;8.90;18.80
2.48;27.50;y;28.37;0.44;-91.42;86.98;0.00;27.61
2.48;27.50;p;101.28;0.00;-4.45;0.00;8.30;27.61
10.75;28.14;y;27.41;0.29;-4.45;-83.42;0.00;30.13
10.75;28.14;p;107.23;0.00;-87.86;0.00;8.78;30.13
11.08;36.92;p;107.89;0.52;-87.86;0.00;8.78;38.54
11.41;45.69;y;1.54;0.00;-87.86;3.27;0.00;47.09
11.41;45.69;p;99.28;1.20;-84.60;0.00;8.17;47.09
12.18;53.83;y;1.20;0.00;-84.60;-2.56;0.00;55.19
12.18;53.83;p;54.34;0.41;-87.15;0.00;4.45;55.19
12.40;58.28;y;45.49;0.05;-87.15;-141.92;0.00;59.58
12.40;58.28;p;88.65;0.00;130.93;0.00;7.21;59.58
7.67;52.83;y;43.22;0.78;130.93;133.63;0.00;53.38
7.67;52.83;p;111.39;0.00;-95.44;0.00;9.10;53.38
6.81;61.89;p;110.72;1.14;-95.44;0.00;9.10;62.26
5.95;70.95;y;8.32;0.00;-95.44;24.90;0.00;71.20
5.95;70.95;p;86.57;2.98;-70.54;0.00;7.05;71.20
8.30;77.60;y;11.55;0.08;-70.54;-34.04;0.00;78.04
8.30;77.60;p;99.67;1.58;-104.58;0.00;8.15;78.04
6.25;85.49;p;94.14;2.81;-104.58;0.00;8.15;85.72
4.20;93.38;y;44.07;0.29;-104.58;135.25;0.00;93.47
4.20;93.38;p;37.84;0.29;30.67;0.00;3.02;93.47
6.79;91.84;y;3.65;0.00;30.67;-9.17;0.00;92.09
6.79;91.84;p;91.99;0.20;21.50;0.00;7.43;92.09
13.71;89.11;y;10.73;1.44;21.50;-31.04;0.00;90.16
13.71;89.11;p;66.60;3.36;-9.54;0.00;5.43;90.16
19.06;90.01;y;1.68;0.04;-9.54;-3.13;0.00;92.01
19.06;90.01;p;50.72;1.17;-12.67;0.00;4.12;92.01
23.08;90.92;y;43.13;1.26;-12.67;133.40;0.00;93.80
23.08;90.92;p;80.02;0.00;120.73;0.00;6.53;93.80
19.74;85.30;y;11.81;0.00;120.73;-34.90;0.00;87.55
19.74;85.30;p;115.59;1.62;85.82;0.00;9.43;87.55
20.43;75.89;p;115.05;0.29;85.82;0.00;9.43;78.59
21.11;66.49;y;32.71;1.11;85.82;-100.25;0.00;69.76
21.11;66.49;p;118.67;1.11;-14.42;0.00;9.77;69.76
30.58;68.92;y;16.51;0.00;-14.42;-49.59;0.00;75.40
30.58;68.92;p;76.55;0.95;-64.01;0.00;6.21;75.40
33.30;74.50;y;27.13;0.00;-64.01;-84.43;0.00;81.60
33.30;74.50;p;100.93;0.93;-148.44;0.00;8.22;81.60
26.30;78.80;y;37.85;0.00;-148.44;117.21;0.00;83.07
26.30;78.80;p;82.71;0.26;-31.22;0.00;6.74;83.07
32.06;82.29;y;7.93;0.00;-31.22;-22.30;0.00;88.32
32.06;82.29;p;67.90;0.86;-53.52;0.00;5.55;88.32
35.36;86.76;p;67.67;0.00;-53.52;0.00;5.55;93.69
38.66;91.22;y;3.73;0.00;-53.52;9.93;0.00;99.08
38.66;91.22;p;90.86;1.80;-43.59;0.00;7.45;99.08
44.06;96.36;y;14.25;0.00;-43.59;42.71;0.00;105.95
44.06;96.36;p;73.85;3.97;-0.88;0.00;5.96;105.95
50.02;96.45;y;16.42;0.00;-0.88;49.38;0.00;108.65
50.02;96.45;p;65.36;0.13;48.50;0.00;5.31;108.65
53.53;92.48;p;64.71;0.81;48.50;0.00;5.31;106.85
57.05;88.50;y;25.78;0.00;48.50;-79.32;0.00;105.29
57.05;88.50;p;64.96;0.29;-30.82;0.00;5.30;105.29
61.61;91.22;p;64.97;4.66;-30.82;0.00;5.30;110.07
66.16;93.94;y;3.79;0.00;-30.82;9.57;0.00;114.90
66.16;93.94;p;116.70;1.22;-21.24;0.00;9.51;114.90
75.03;97.38;y;11.43;3.03;-21.24;34.67;0.00;122.93
75.03;97.38;p;75.06;1.20;13.42;0.00;6.14;122.93
81.00;95.96;y;6.52;0.33;13.42;17.33;0.00;125.57
81.00;95.96;p;81.65;1.50;30.75;0.00;6.67;125.57
86.73;92.55;y;13.74;0.21;30.75;-41.15;0.00;126.83
86.73;92.55;p;62.67;3.90;-10.40;0.00;5.12;126.83
91.76;93.48;p;63.59;7.37;-10.40;0.00;5.12;130.99
96.80;94.40;y;37.77;3.25;-10.40;117.73;0.00;135.21
96.80;94.40;p;96.00;3.61;107.33;0.00;7.86;135.21
94.46;86.90;y;8.99;0.27;107.33;-26.09;0.00;128.35
94.46;86.90;p;95.63;0.70;81.24;0.00;7.84;128.35
95.65;79.15;y;3.00;0.08;81.24;7.72;0.00;124.16
95.65;79.15;p;112.59;1.29;88.96;0.00;9.17;124.16
95.82;69.98;y;1.80;0.00;88.96;4.35;0.00;118.65
95.82;69.98;p;89.49;0.00;93.31;0.00;7.33;118.65
95.40;62.66;y;22.51;0.41;93.31;68.90;0.00;114.13
